year,importer1,importer2,flow1
2017,Massachusetts Ave.,Kenmore,52
2017,Courthouse,Beaconsfield,9
2017,Wellington,Heath Street,11
2017,Downtown Crossing,Kenmore,361
2017,Broadway,Park Street,1303
2017,Back Bay,Quincy Adams,530
2017,Saint Paul Street,Community College,34
2017,Science Park,Sullivan Square,53
2017,JFK/Umass,Saint Paul Street,59
2017,Heath Street,Wood Island,9
2017,Mission Park,South Street,0
2017,Englewood Ave.,Alewife,5
2017,Heath Street,Boston Univ. West,3
2017,Ashmont,Prudential,116
2017,Maverick,State Street,9160
2017,Quincy Adams,Cleveland Circle,2
2017,Wood Island,Boston College,1
2017,South Street,Beachmont,0
2017,Hawes Street,Shawmut,2
2017,Sutherland Road,Ashmont,16
2017,Boston Univ. West,Suffolk Downs,2
2017,North Quincy,Saint Paul Street,31
2017,Orient Heights,Kent Street,7
2017,Airport,Allston Street,26
2017,Tufts Medical Center,Ruggles,1220
2017,Cleveland Circle,Newton Highlands,3
2017,Harvard Ave.,Washington Square,3
2017,Chinatown,Kent Street,1
2017,Bowdoin,Science Park,4
2017,Hawes Street,South Street,0
2017,Savin Hill,Symphony,22
2017,Beachmont,Beachmont,1
2017,Harvard Ave.,Longwood,18
2017,Quincy Center,Cleveland Circle,6
2017,Packards Corner,Community College,21
2017,Central,Boylston,433
2017,Downtown Crossing,Central,6277
2017,Haymarket,Symphony,318
2017,Revere Beach,Symphony,50
2017,JFK/Umass,Riverside,77
2017,Arlington,Wood Island,181
2017,Porter,Green Street,139
2017,Saint Paul Street,Brookline Village,18
2017,Museum of Fine Arts,Griggs Street,9
2017,Lechmere,South Street,5
2017,Charles/MGH,Wood Island,18
2017,Griggs Street,Longwood Medical Area,2
2017,Ruggles,Forest Hills,3143
2017,Museum of Fine Arts,Wonderland,66
2017,Aquarium,Boston College,3
2017,Boston Univ. East,Pleasant Street,215
2017,Revere Beach,Jackson Square,53
2017,Maverick,Oak Grove,137
2017,Coolidge Corner,Sutherland Road,15
2017,Shawmut,North Quincy,80
2017,Central,Ruggles,381
2017,Bowdoin,Fenwood Road,1
2017,Pleasant Street,Community College,13
2017,Beaconsfield,Ruggles,3
2017,Oak Grove,Science Park,64
2017,Longwood Medical Area,Wonderland,136
2017,Warren Street,Harvard Ave.,168
2017,Summit Ave.,Boston College,0
2017,Warren Street,Sutherland Road,89
2017,Prudential,Wellington,132
2017,Dean Road,Harvard,15
2017,Englewood Ave.,Malden Center,7
2017,Reservoir,Quincy Adams,14
2017,Butler,Braintree,0
2017,Science Park,Pleasant Street,0
2017,Wollaston,Brookline Village,37
2017,Boston Univ. West,Boylston,131
2017,Alewife,Community College,239
2017,Saint Mary Street,Babcock Street,5
2017,Green Street,Oak Grove,48
2017,Wood Island,Reservoir,11
2017,Fields Corner,Back of the Hill,10
2017,Harvard Ave.,World Trade Center,11
2017,Back of the Hill,Packards Corner,0
2017,World Trade Center,Hynes Convention Center,100
2017,Downtown Crossing,Andrew,3359
2017,Newton Highlands,Community College,6
2017,Babcock Street,Saint Paul Street,39
2017,Fairbanks Street,Davis,14
2017,Braintree,Tufts Medical Center,189
2017,Forest Hills,Malden Center,389
2017,Wellington,Waban,4
2017,Mattapan,Charles/MGH,13
2017,Boston Univ. West,Griggs Street,136
2017,Blandford Street,Ashmont,26
2017,Waban,Green Street,0
2017,Washington Street,Orient Heights,7
2017,Tappan Street,Lechmere,23
2017,Wellington,Washington Street,13
2017,Mattapan,Shawmut,8
2017,Charles/MGH,Boston Univ. West,28
2017,Jackson Square,Lechmere,64
2017,Chestnut Hill,Airport,64
2017,Davis,North Quincy,361
2017,Community College,Back Bay,2198
2017,Oak Grove,North Quincy,150
2017,Charles/MGH,South Street,13
2017,Boston Univ. West,Science Park,5
2017,Griggs Street,Kent Street,0
2017,Boston Univ. West,Back of the Hill,0
2017,Wonderland,Brigham Circle,113
2017,Roxbury Crossing,Forest Hills,2037
2017,Boylston,Chestnut Hill Ave.,84
2017,Mattapan,Kendall/MIT,8
2017,Andrew,Alewife,307
2017,Coolidge Corner,Kendall/MIT,137
2017,Stony Brook,Central,288
2017,Prudential,Alewife,307
2017,Washington Street,Green Street,4
2017,Charles/MGH,Revere Beach,73
2017,Davis,Airport,215
2017,Courthouse,Orient Heights,5
2017,Mattapan,Butler,143
2017,Hawes Street,Community College,12
2017,Wood Island,North Station,111
2017,Chestnut Hill Ave.,Central,5
2017,Reservoir,Eliot,101
2017,Forest Hills,Quincy Center,128
2017,Mission Park,Boston Univ. East,0
2017,Orient Heights,Symphony,43
2017,Allston Street,Brookline Village,3
2017,North Quincy,Back Bay,580
2017,South Station,Wood Island,105
2017,Forest Hills,Englewood Ave.,1
2017,Ashmont,Museum of Fine Arts,38
2017,Butler,Oak Grove,0
2017,Allston Street,Quincy Adams,8
2017,North Station,Pleasant Street,54
2017,Boston Univ. Central,Fenwood Road,0
2017,Blandford Street,Sullivan Square,12
2017,Capen Street,Back Bay,0
2017,World Trade Center,Cleveland Circle,1
2017,Charles/MGH,Central Ave.,1
2017,Boston Univ. East,Eliot,0
2017,Roxbury Crossing,Kenmore,17
2017,World Trade Center,State Street,7
2017,Airport,Englewood Ave.,18
2017,Courthouse,Shawmut,102
2017,Beaconsfield,Valley Road,0
2017,Wollaston,Alewife,134
2017,Fenwood Road,Mission Park,7
2017,Hynes Convention Center,Ashmont,366
2017,South Street,Newton Centre,3
2017,Downtown Crossing,Englewood Ave.,28
2017,Malden Center,Washington Square,22
2017,Haymarket,Dean Road,61
2017,Englewood Ave.,Blandford Street,3
2017,Savin Hill,Fairbanks Street,2
2017,Woodland,Jackson Square,3
2017,Blandford Street,Oak Grove,18
2017,Reservoir,World Trade Center,8
2017,Blandford Street,Harvard Ave.,402
2017,Revere Beach,Dean Road,1
2017,Fenwood Road,Haymarket,52
2017,Airport,North Station,489
2017,Quincy Center,Mattapan,59
2017,Boston Univ. West,Stony Brook,3
2017,Park Street,Chestnut Hill Ave.,52
2017,Sutherland Road,Chiswick Road,26
2017,Copley,Capen Street,1
2017,Kent Street,Courthouse,0
2017,Wonderland,Arlington,764
2017,Lechmere,Pleasant Street,8
2017,Blandford Street,Brandon Hall,0
2017,Malden Center,Chiswick Road,10
2017,Roxbury Crossing,Brandon Hall,2
2017,Woodland,Fenway,185
2017,Washington Square,Tappan Street,13
2017,Newton Centre,Boylston,342
2017,North Quincy,Wollaston,610
2017,North Quincy,Aquarium,21
2017,Assembly,JFK/Umass,144
2017,Lechmere,Back of the Hill,11
2017,Wollaston,Malden Center,136
2017,Downtown Crossing,North Station,3227
2017,Haymarket,Davis,641
2017,Stony Brook,North Quincy,45
2017,Ruggles,Capen Street,1
2017,Porter,Forest Hills,159
2017,Waban,Savin Hill,0
2017,Butler,Northeastern University,0
2017,Reservoir,Mission Park,3
2017,Woodland,Copley,292
2017,Chestnut Hill,Babcock Street,1
2017,Longwood,Wonderland,48
2017,Downtown Crossing,Community College,2094
2017,Heath Street,Stony Brook,1
2017,Alewife,Ashmont,264
2017,Fenway,Aquarium,31
2017,Braintree,Massachusetts Ave.,116
2017,Newton Highlands,Andrew,20
2017,Quincy Adams,Harvard Ave.,29
2017,Dean Road,Ashmont,3
2017,Brandon Hall,Fenway,0
2017,Green Street,Massachusetts Ave.,1451
2017,Chestnut Hill,Fenway,212
2017,Hawes Street,Prudential,4
2017,Forest Hills,Boston Univ. East,10
2017,Woodland,Butler,0
2017,Beachmont,Ruggles,152
2017,Warren Street,Newton Centre,10
2017,Fenway,Davis,201
2017,Maverick,Davis,365
2017,Broadway,Back Bay,198
2017,Newton Highlands,Brigham Circle,9
2017,Bowdoin,Forest Hills,47
2017,Lechmere,Back Bay,305
2017,Courthouse,Central Ave.,1
2017,Boston Univ. East,Warren Street,127
2017,Wonderland,Ruggles,387
2017,Kenmore,Wollaston,573
2017,Airport,Brandon Hall,7
2017,Ruggles,Andrew,230
