year,importer1,importer2,flow1
2017,Green,Red,23
2017,Green,Green,284
2017,Green,Red,10
2017,Green,Green,6
2017,Blue,Orange,709
2017,Green,Green,1
2017,Green,Black,809
2017,Green,Green,14
2017,Orange,Green,34
2017,Red,Blue,1
2017,Green,Black,534
2017,Orange,Red,288
2017,Green,Red,0
2017,Green,Orange,78
2017,Orange,Green,1
2017,Green,Orange,6
2017,Red,Green,11
2017,Green,Green,12
2017,Red,Red,11
2017,Red,Red,488
2017,Orange,Green,48
2017,Red,Orange,90
2017,Green,Green,0
2017,Green,Green,21
2017,Green,Blue,8
2017,Orange,Red,127
2017,Orange,Green,13
2017,Red,Orange,551
2017,Red,Orange,55
2017,Green,Red,5
2017,Red,Green,16
2017,Green,Red,22
2017,Green,Red,18
2017,Blue,Green,15
2017,Blue,Red,83
2017,Orange,Red,116
2017,Green,Green,124
2017,Green,Green,3
2017,Green,Red,0
2017,Red,Orange,116
2017,Green,Orange,1
2017,Green,Green,9
2017,Green,Black,379
2017,Red,Orange,31
2017,Red,Blue,1
2017,Green,Green,53
2017,Red,Green,56
2017,Green,Blue,196
2017,Green,Green,18
2017,Green,Blue,9
2017,Green,Orange,153
2017,Orange,Blue,136
2017,Green,Blue,3
2017,Orange,Green,10
2017,Red,Red,10
2017,Green,Orange,7
2017,Green,Blue,6
2017,Green,Red,198
2017,Blue,Green,2
2017,Red,Red,782
2017,Green,Black,174
2017,Green,Green,60
2017,Green,Orange,1
2017,Black,Orange,2782
2017,Red,Orange,29
2017,Gray,Red,163
2017,Green,Green,10
2017,Black,Green,93
2017,Blue,Green,5
2017,Red,Orange,329
2017,Blue,Green,7
2017,Green,Green,4
2017,Green,Green,11
2017,Orange,Orange,212
2017,Green,Green,46
2017,Red,Red,1
2017,Orange,Green,20
2017,Green,Orange,0
2017,Green,Green,416
2017,Green,Red,73
2017,Black,Red,2535
2017,Red,Orange,63
2017,Green,Green,1261
2017,Green,Red,44
2017,Red,Red,8
2017,Red,Green,9
2017,Red,Blue,27
2017,Green,Green,417
2017,Orange,Green,648
2017,Green,Green,286
2017,Red,Green,40
2017,Green,Red,491
2017,Red,Red,575
2017,Black,Green,44
2017,Green,Green,3
2017,Green,Green,126
2017,Red,Gray,123
2017,Green,Green,0
2017,Blue,Green,6
2017,Blue,Orange,167
2017,Green,Red,6
2017,Green,Green,66
2017,Blue,Green,11
2017,Blue,Orange,891
2017,Blue,Green,34
2017,Green,Green,135
2017,Red,Green,10
2017,Red,Green,43
2017,Green,Green,0
2017,Orange,Green,5
2017,Green,Red,313
2017,Green,Black,433
2017,Green,Green,15
2017,Green,Green,1957
2017,Green,Orange,4
2017,Red,Orange,230
2017,Orange,Green,10
2017,Green,Blue,40
2017,Green,Blue,194
2017,Green,Green,7
2017,Green,Green,0
2017,Red,Green,1103
2017,Green,Blue,1
2017,Orange,Red,150
2017,Green,Green,0
2017,Green,Black,238
2017,Blue,Green,3
2017,Green,Green,96
2017,Black,Green,13
2017,Green,Green,0
2017,Green,Green,144
2017,Green,Green,0
2017,Red,Green,26
2017,Green,Orange,15
2017,Green,Green,202
2017,Green,Green,6
2017,Red,Red,6119
2017,Red,Red,0
2017,Green,Green,3
2017,Black,Green,20
2017,Red,Red,144
2017,Green,Green,38
2017,Green,Green,5
2017,Green,Green,72
2017,Green,Green,0
2017,Green,Green,13
2017,Green,Green,570
2017,Green,Green,225
2017,Green,Green,11
2017,Green,Black,622
2017,Green,Green,13
2017,Green,Black,753
2017,Green,Orange,0
2017,Red,Blue,19
2017,Red,Orange,0
2017,Orange,Red,18
2017,Orange,Green,1707
2017,Green,Green,3
2017,Green,Red,2
2017,Green,Red,19
2017,Orange,Green,10
2017,Green,Red,61
2017,Green,Green,123
2017,Green,Red,4
2017,Orange,Green,7
2017,Green,Orange,4
2017,Orange,Green,2
2017,Green,Green,621
2017,Blue,Black,128
2017,Red,Orange,131
2017,Green,Orange,257
2017,Green,Blue,11
2017,Orange,Blue,154
2017,Orange,Green,42
2017,Red,Orange,323
2017,Red,Green,12
2017,Green,Blue,13
2017,Green,Red,12
2017,Blue,Green,5
2017,Green,Orange,3
2017,Orange,Blue,1591
2017,Blue,Green,3
2017,Green,Green,31
2017,Red,Blue,38
2017,Green,Red,28
2017,Green,Red,3
2017,Orange,Green,9
2017,Green,Green,137
2017,Red,Blue,106
2017,Green,Orange,25
2017,Red,Green,19
2017,Red,Red,330
2017,Green,Green,13
2017,Red,Red,1121
2017,Red,Green,64
2017,Orange,Orange,619
2017,Red,Green,19
2017,Green,Blue,5
2017,Red,Red,1901
2017,Red,Gray,122
2017,Red,Green,42
2017,Green,Green,18
2017,Green,Orange,40
2017,Green,Green,476
2017,Red,Green,12
2017,Green,Orange,16
2017,Green,Orange,9
2017,Green,Green,56
2017,Green,Green,61
2017,Black,Red,4279
2017,Green,Red,12
2017,Green,Green,42
2017,Blue,Red,402
2017,Orange,Red,155
2017,Red,Green,37
2017,Green,Green,3
